status,status_desc,road_name,时间,路况描述
1,双向畅通,世纪公园一横路,2023-03-19 12:40:17,世纪公园一横路：双向畅通。
1,双向畅通,世纪公园中路,2023-03-19 12:40:17,世纪公园中路：双向畅通。
1,双向畅通,世纪公园二横路,2023-03-19 12:40:17,世纪公园二横路：双向畅通。
1,双向畅通,世纪公园路,2023-03-19 12:40:17,世纪公园路：双向畅通。
1,双向畅通,世纪大桥,2023-03-19 12:40:18,世纪大桥：双向畅通。
1,畅通,国贸北路,2023-03-19 12:40:18,国贸北路：畅通。
1,双向畅通,景湾路,2023-03-19 12:40:18,景湾路：双向畅通。
1,双向畅通,泰华路,2023-03-19 12:40:18,泰华路：双向畅通。
1,双向畅通,港湾路,2023-03-19 12:40:18,港湾路：双向畅通。
1,双向畅通,滨海公园路,2023-03-19 12:40:19,滨海公园路：双向畅通。
1,双向畅通,滨海大道,2023-03-19 12:40:19,"滨海大道：双向畅通；西向东,从金海路到明珠路严重拥堵。"
1,自南向北畅通,滨海新村路,2023-03-19 12:40:19,滨海新村路：自南向北畅通。
2,轻微拥堵,滨海立交桥,2023-03-19 12:40:19,滨海立交桥：轻微拥堵。
1,双向畅通,滨社路,2023-03-19 12:40:19,滨社路：双向畅通。
2,自北向南轻微拥堵；自南向北畅通,玉沙路,2023-03-19 12:40:20,"玉沙路：自北向南轻微拥堵；自南向北畅通；北向南,国贸路附近严重拥堵。"
1,双向畅通,玉河路,2023-03-19 12:40:20,玉河路：双向畅通。
1,双向畅通,甸昆路,2023-03-19 12:40:20,甸昆路：双向畅通。
1,双向畅通,盐灶一横路,2023-03-19 12:40:20,盐灶一横路：双向畅通。
1,双向畅通,盐灶路,2023-03-19 12:40:20,盐灶路：双向畅通。
1,双向畅通,绿园路,2023-03-19 12:40:21,绿园路：双向畅通。
3,自北向南严重拥堵；自南向北畅通,龙昆北路,2023-03-19 12:40:21,"龙昆北路：自北向南严重拥堵；自南向北畅通；北向南,从滨海立交桥到龙昆北路桥严重拥堵。"
1,双向畅通,世纪公园一横路,2023-03-19 13:00:29,世纪公园一横路：双向畅通。
