congestion_distance,speed,status,congestion_trend,section_desc,name,time
640,11.58,3,加重,"西向东,从瑞金中路到化龙桥",延安中路,2023-03-17 15:49:04
640,2.21,4,持平,"西向东,从瑞金中路到化龙桥",延安中路,2023-03-17 16:09:18
750,20.99,2,加重,"东向西,从化龙桥到瑞金北路",延安中路,2023-03-17 16:09:18
560,7.29,4,加重,"北向南,从延安西路到中山西路",瑞金中路,2023-03-17 17:09:57
640,1.95,4,缓解,"西向东,从瑞金中路到化龙桥",延安中路,2023-03-17 17:30:09
750,1.57,4,加重,"西向东,从瑞金中路到化龙桥",延安中路,2023-03-17 17:50:23
750,3.08,4,加重,"东向西,从化龙桥到瑞金北路",延安中路,2023-03-17 17:50:23
860,10.85,3,加重,"南向北,从沙河桥到汇丰港2元起",中华北路,2023-03-17 18:10:35
1120,7.15,4,持平,"西向东,从贵州省文物博物馆学会到沙河桥",北京路,2023-03-17 18:10:36
870,10.9,3,缓解,"西向东,从沙河桥到神奇大桥",北京路,2023-03-17 18:10:36
750,5.87,4,持平,"西向东,从瑞金中路到化龙桥",延安中路,2023-03-17 18:10:38
750,12.17,3,加重,"东向西,从化龙桥到瑞金北路",延安中路,2023-03-17 18:10:38
1320,10.37,4,持平,"西向东,从贵州省文物博物馆学会到沙河桥",北京路,2023-03-17 18:17:23
1010,17.0,3,加重,"西向东,从枣山路到环城北路",北京路,2023-03-17 18:17:23
870,17.36,3,缓解,"西向东,从沙河桥到神奇大桥",北京路,2023-03-17 18:17:23
640,1.5,4,加重,"西向东,从瑞金中路到化龙桥",延安中路,2023-03-17 18:17:25
1120,6.39,4,持平,"西向东,从贵州省文物博物馆学会到沙河桥",北京路,2023-03-17 18:37:39
870,10.56,3,缓解,"西向东,从沙河桥到神奇大桥",北京路,2023-03-17 18:37:39
640,2.8,4,缓解,"西向东,从瑞金中路到化龙桥",延安中路,2023-03-17 18:37:40
750,21.3,2,加重,"东向西,从化龙桥到瑞金北路",延安中路,2023-03-17 18:37:40
790,3.77,4,加重,"北向南,从黔灵山路到延安西路",瑞金北路,2023-03-17 18:37:43
760,5.84,4,持平,"北向南,瑞金北路附近",黔灵山路,2023-03-17 18:37:44
590,4.67,4,持平,"西向东,数博大道长岭南路附近",黔灵山路,2023-03-17 18:37:44
4300,9.25,4,持平,"东向西,从金工立交到百步桥",黔灵山路,2023-03-17 18:37:44
1120,16.24,3,缓解,"西向东,从贵州省文物博物馆学会到沙河桥",北京路,2023-03-17 18:57:53
